,FCLTY_NM,FCLTY_TY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_TEL_NO,PROGRM_TY_NM,PROGRM_NM,PROGRM_TRGET_NM,PROGRM_BEGIN_DE,PROGRM_END_DE,PROGRM_ESTBL_WKDAY_NM,PROGRM_ESTBL_TIZN_VALUE,PROGRM_RCRIT_NMPR_CO,PROGRM_PRC,PROGRM_PRC_TY_NM,HMPG_URL,SAFE_MANAGT_CN,EDC_GOAL_CN,PRTC_NMPR_PARTCPT_AT,LDR_QUALF_CN,x,y
0,강남스포츠문화센터수영장,수영장,1100000000,서울특별시,1168000000,강남구,서울특별시 강남구 밤고개로1길 52 (수서동),234235955,기타종목,주말그룹레슨B,중학생이상,20241201,20241231,토,10:30~11:20,5,60000,,https://life.gangnam.go.kr,,,N,,127.1052808,37.48900105
1,강북웰빙스포츠센터,생활체육관,1100000000,서울특별시,1130500000,강북구,서울특별시 강북구 오현로31길 51 (번동),,배드민턴,(오전)배드민턴 집중반3 09:30 [화목],청소년이상,20241201,20241231,화목,09:30~11:30,10,80000,,https://gbcmc.or.kr,,,N,"2급 생활스포츠 지도사 배드민턴
2급 생활스포츠 지도사 보디빌딩",127.0377894,37.63045275
2,개운산스포츠센터,생활체육관,1100000000,서울특별시,1129000000,성북구,서울특별시 성북구 북악산로 949-60 (종암동),,수영,"[단기특강]성인소그룹반18시A(자유형,배영)",청소년,20241201,20241231,월수금,18:00~18:50,6,180000,,https://www.gongdan.go.kr,,,N,,127.0262388,37.59686703
3,개웅산생활체육관,생활체육관,1100000000,서울특별시,1153000000,구로구,서울특별시 구로구 개봉로3길 108-20 (개봉동),218996828,헬스,월정기헬스,청소년이상,20241101,20241130,월화수목금토,06:00~22:00,0,25000,,https://www.gurosisul.or.kr,,,N,,126.8497244,37.48530673
4,거제국민체육센터,구기체육관,4800000000,경상남도,4831000000,거제시,경상남도 거제시 거제면 거제남서로 3485-17,556393914,헬스,헬스,성인/중고생,20241201,20241231,월화수목금토,06:00~22:00,0,50000,성인: 청소년:38000,https://www.yj-sports.or.kr,,,N,,128.5815338,34.8518556
5,경주국민체육센터,생활체육관,4700000000,경상북도,4713000000,경주시,경상북도 경주시 유림로5번길 85-15 (황성동),,수영,강습수영 07시 상급,"성인,청소년",20241201,20241231,월화수목금,07:10~08:00,25,41000,,https://sports.gyeongju.go.kr,,,N,대한안전연합 수상인명구조원,129.2170901,35.8790444
6,고양국민체육센터,생활체육관,4100000000,경기도,4128100000,고양시 덕양구,경기도 고양시 덕양구 호국로 876 (성사동),3180752342,복싱,복싱1반 화목11:00~11:50,청소년,20241201,20241231,화목,11:00~11:50,0,22000,,https://yeyak.gys.or.kr,,"복싱은 앞, 뒤로 이동하는 스탭과 함께 주먹을 뻗는 동작이 이어지므로 신체의 리듬감이 발달하고, 심폐 기능 강화, 집중력 및 순발력 향상에도 큰 효과가 있다. 본 강습에서는 난이도가 높은 복싱 기술을 지루하지 않게 구성하여 체력 단련, 민첩성, 근력, 유연성 향상을 돕는다.",N,,126.8438504,37.66219613
7,고양어울림누리내 꽃우물수영장,수영장,4100000000,경기도,4128100000,고양시 덕양구,경기도 고양시 덕양구 어울림로 33 (성사동),3180752342,수영,수영(화목)-저녁2반(중급) 화목19:00~19:50,청소년,20241101,20241130,화목,19:00~19:50,0,30000,,https://yeyak.gys.or.kr,,,N,,126.835368,37.64905648
8,고양체육관,수영장,4100000000,경기도,4128700000,고양시 일산서구,경기도 고양시 일산서구 중앙로 1601 (대화동),3180752341,수영,수영(월~금)-월자유C-2반 월화수목금20:00~20:50,청소년,20241001,20241031,월화수목금,20:00~20:50,0,50000,,https://yeyak.gys.or.kr,,,N,,126.7420729,37.67638709
9,고천다목적실내체육관,구기체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 오전로 18 (왕곡동),3180867421,배드민턴,고천 19시 월수 배드민턴,"성인,청소년",20241101,20241130,월수,19:00~21:00,0,30000,,https://reserve.uuc.or.kr,,,N,,126.9823557,37.34790019
10,과천시민회관다목적체육관,생활체육관,4100000000,경기도,4129000000,과천시,경기도 과천시 통영로 5 (중앙동),,댄스(줌바 등),주말성인발레09시(왕초보),청소년~ 성인,20241201,20241231,토,09:00~09:50,25,20000,,https://www.gcuc.or.kr,,"바가노바 메소드를 바탕으로 심화된 발레 동작과 표현력을 익히게 됩니다. 동시에 리듬감과 동작 수행능력을 향상시켜, 능숙하면서도 우아하게 춤출 수 있는 훈련에 초점을 맞추어 매트 스트레칭 바워크, 센터워크로 수업이 진행됩니다.",N,,126.9891524,37.42819272
11,관문실내체육관,구기체육관,4100000000,경기도,4129000000,과천시,경기도 과천시 중앙로 294 (관문동),,헬스,관문헬스 새벽반(청소년)06:00~18:00(토),청소년,20241101,20241130,월화수목금토,06:00~10:00,0,33000,,https://www.gcuc.or.kr,,,N,,126.9962948,37.44144729
12,관악구민종합체육센터,생활체육관,1100000000,서울특별시,1162000000,관악구,서울특별시 관악구 낙성대로3길 37 (봉천동),28751188,탁구,탁구레슨(20시)_월수금,"청소년,성인남녀",20241201,20241231,월수금,20:00~21:50,10,105000,,https://booking.gwanakgongdan.or.kr,,,N,,126.9603153,37.47306731
13,관악청소년센터수영장,수영장,1100000000,서울특별시,1162000000,관악구,서울특별시 관악구 신림로23길 17 (신림동),,수영,오전수영 월수금 초급 11시,중학생~성인,20241101,20241130,월수금,11:00~11:50,0,30000,,https://booking.gwanakgongdan.or.kr,,,N,,126.9352433,37.4702439
14,광장동 실내배드민턴장,구기체육관,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 천호대로140길 40 (광장동),,수영,주2회강습반(화목)5부,성인/청소년,20241201,20241231,화목,19:30~21:50,16,53900,,https://booking.gwangjin.or.kr,,"실내 코트내에서의 순발성, 지구력, 고강도 운동을 통한
심폐기능 및 각종 기초대사 능력의 향상.",N,"2급 생활스포츠지도사 자격
2급 장애인스포츠지도사 자격",127.1001957,37.54442528
15,광주시문화스포츠센터,수영장,4100000000,경기도,4161000000,광주시,경기도 광주시 회안대로 891 (송정동),317605986,종합체육시설,17시/B(진도)_중급-10개월차(접영종합동작),어린이(8~13세),20241201,20241231,화목,17:00~17:50,20,23000,,https://gjcenter.gjcs.or.kr,,,N,,127.2548241,37.42690194
16,광진구민체육센터,골프연습장,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 구천면로 14 (광장동),220494800,골프,골프 13-B,초등2년~성인,20241201,20241231,화목,13:00~13:50,3,50000,,https://booking.gwangjin.or.kr,,,N,,127.106801,37.54600993
17,광진문화예술회관,골프연습장,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 능동로 76 (자양동),220494570,골프,골프 09B,중고생/성인,20241001,20241031,화목,09:00~09:50,10,50000,,https://booking.gwangjin.or.kr,"이용객에게 방해가 되지 않도록 주의해 주십시오.
ㅇ과도한 노출이나 슬리퍼 착용을 삼가주십시오.
ㅇ1타석 2인 이용은 불가하며, 당 센터 지도자 외에는 강습행위를 할 수 없습니다.
ㅇ타석간 이동시 항상 안전에 주의하세요.
ㅇ사정에 따라 수업내용, 강사는 바뀔 수 있습니다.","ㅇ초급 기준
1.샷
 LEVEL 1 (2~3주) : 그립, 어드레스, 시선 처리, 쿼터스윙
 LEVEL 2 (2~3주) : 바디 스트레치(기본 구성 동작)
 LEVEL 3 (2주) : 샤프트 던지기
 LEVEL 4 (2주) : 헤드 던지기
 LEVEL 5 (1주) : 피니시 만들기

2.어프로치
 LEVEL 1 (2주) : 웨지 사용의 이해, 오픈스탠스, 클럽라인
 LEVEL 2 (2주) : 힙 돌리기, 손목 익스텐드
 LEVEL 3 (2주) : 백스윙 하체고정
 LEVEL 4 (1주) : 러닝 어프로치
 LEVEL 5 (1~2주) : 깊이 조절

3.퍼팅 (4주)
 LEVEL 1 : 그립, 어드레스 및 체중분배, 시선 훈련
 LEVEL 2 : 스트로크 훈련
 LEVEL 3 : 거리 조절 훈련",N,,127.070576,37.53757063
18,구로구민체육센터,생활체육관,1100000000,서울특별시,1153000000,구로구,서울특별시 구로구 고척로45길 39 (고척동),226819595,기타종목,10시 피아노교실A (중급),초등학생이상,20241101,20241130,월수금,10:00~10:50,0,70000,,https://www.gurosisul.or.kr,,,N,,126.8532759,37.50658124
19,구리국민체육센터,구기체육관,4100000000,경기도,4131000000,구리시,인창동 622-28번지 일원,315503700,배드민턴,16시고구려클럽_월정기배드민턴,고구려클럽회원,20241101,20241130,월화수목금토일,16:00~18:50,100,20000,클럽월정기_청소년[1개월],https://sports.guriuc.or.kr:4433,,,N,,127.1297923,37.60508111
20,구리시멀티스포츠센터,구기체육관,4100000000,경기도,4131000000,구리시,경기도 구리시 체육관로 137-25 (교문동),315503700,스쿼시,06B(월수금)스쿼시강습(중급),청소년이상,20241201,20241231,월수금,06:00~06:50,4,60000,주3회(성인),https://sports.guriuc.or.kr:4433,,,N,,127.1351567,37.59616439
21,구리실내배드민턴장,구기체육관,4100000000,경기도,4131000000,구리시,교문동 3-2번지 일원,315503700,배드민턴,10시중앙클럽_월정기배드민턴,중앙클럽회원,20241201,20241231,월화수목금토일,10:00~12:50,100,25000,클럽월정기_성인[1개월],https://sports.guriuc.or.kr:4433,,,N,,127.1363275,37.59582931
22,구리청소년수련관수영장,수영장,4100000000,경기도,4131000000,구리시,인창동 673-4번지,315537101,기타종목,날치A (배K)[월수금16시]박동진,초1~6학년,20241001,20241031,월수금,16:00~16:50,20,30000,,https://www.guriyouth.go.kr,,,N,,127.1418066,37.60379969
23,국민생활관,생활체육관,5100000000,강원특별자치도,5111000000,춘천시,강원특별자치도 춘천시 효자상길5번길 11 (효자동),332521666,수영,어린이수영 중급,남녀(초등학생),20241201,20241231,화수목금,17:00~17:50,0,0,,https://www.cuc.or.kr,,,N,,127.7284204,37.87309565
24,국민체육센터,생활체육관,2600000000,부산광역시,2626000000,동래구,부산광역시 동래구 미남로 110 (온천동),,기타종목,(20)-스피닝_월수금,청소년이상,20241001,20241031,월수금,20:00~20:40,27,360000,주3일스피닝(6개월),https://sports.dongnae.go.kr,,"강사의 리드에 따라 고정식 자전거를 타며 신나는 음악에 맞춰 진행되는 GX(group exercise) 운동이다.이는 자전거 페달을 돌리면서 신나는 음악과 조명에 맞춰 유산소 운동과 댄스를 단체로 즐기는 것으로 하체는 사이클링을, 상체는 근력과 체조, 댄스 에어로빅이 합쳐진 형태이다.

스피닝은 실내 사이클과 음악, 조명 그리고 신나는 댄스가 어우러진 프로그램으로 남녀노소 누구나 쉽게 따라하며 즐길 수 있는 전신운동으로 시간당 러닝머신 대비 3~4배의 칼로리를 소모하는 강도 높은 운동이다.

페달링 동작을 통한 움직임을 활발히 해 상·하체 근력에 균형을 이룰 수 있으며 에너지 효율을 높여 체지방 감량에 아주 효과적인 운동으로 다이어트 효과를 빠르게 몸으로 느끼게 해준다.",N,벨로시티 스피닝 자격증,129.0698369,35.20359834
25,국민체육센터 다목적체육관,생활체육관,4100000000,경기도,4139000000,시흥시,경기도 시흥시 하중로 226 (하중동),3180840102,수영,10월-화목-배영2(17시),초등학생,20241001,20241031,,17:00~17:50,20,38500,주2회어린이강습(1개월),https://sportsapp.shsi.or.kr,,,N,,126.8053441,37.39150566
26,국민체육센터 수영장,수영장,5100000000,강원특별자치도,5111000000,춘천시,강원특별자치도 춘천시 우석로 102-3 (석사동),332577800,수영,주말수영,초등학생,20241101,20241130,토일,11:00~11:50,0,0,,https://www.cuc.or.kr,,,N,,127.7566777,37.86261988
27,군포시청소년수련관수영장,수영장,4100000000,경기도,4141000000,군포시,경기도 군포시 산본로 322 (금정동),313901400,기타종목,월수금19교정중(중-고-성인),중-고-성인,20241201,20241231,월수금,19:00~19:50,20,42000,,https://www.gpyf.or.kr,,,N,,126.9347608,37.35982376
28,금곡공원국민체육센터,생활체육관,4100000000,경기도,4113500000,성남시 분당구,경기도 성남시 분당구 금곡로 302 (정자동),,수영,"어린이수영_중급7_화,목_17시",어린이,20241201,20241231,화목,17:00~17:50,0,21000,,https://spo.isdc.co.kr,,,N,,127.1097356,37.35716138
29,금천구민문화체육센터,생활체육관,1100000000,서울특별시,1154500000,금천구,서울특별시 금천구 독산로54길 188 (독산동),28611313,기타종목,"번지핏/화,목18:30~19:20/8회수업기준/1층다목적룸  회원구분:단체레슨반  장소:1층다목적룸",14세~성인,20241201,20241231,화목,18:30~19:20,0,120000,청소년 (1개월),https://s.gfmc.kr,,,N,,126.9073405,37.47006899
30,금천구민문화체육센터수영장,수영장,1100000000,서울특별시,1154500000,금천구,금천구 독산4동371-2,28611313,수영,오전수영(상급)/화목강습+토자유수영(해당강습시간에만가능09:00~09:50)  회원구분:상급(평영~접영)  장소:수영장,14세~성인,20241101,20241130,화목토,09:00~09:50,0,110000,청소년 (3개월),https://s.gfmc.kr,,,N,,126.9072633,37.47013786
31,기장군국민체육센터,생활체육관,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 일광면 체육공원1로 29,517924770,배드민턴,"배드민턴 어린이반(화목,조영우)(2024)",,20241201,20241231,화목,17:00~17:50,24,0,,https://regs.gijangcmc.or.kr,,,N,,129.24285,35.30497463
32,기장군국민체육센터수영장,수영장,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 일광읍 체육공원1로 29,,기타종목,18시30분 어린이반(화~금)(2024),,20241201,20241231,화수목금,18:30~19:20,20,0,,https://regs.gijangcmc.or.kr,,,N,,129.24285,35.30497463
33,기장생활체육센터수영장,수영장,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 기장읍 차성서로109번길 24,,수영,NEW 18시30분 어린이수영(여),,20241201,20241231,화수목금,18:30~19:20,20,0,,https://regs.gijangcmc.or.kr,,,N,,129.2082011,35.24365234
34,김천실내수영장,수영장,4700000000,경상북도,4715000000,김천시,경상북도 김천시 운동장길 1 (삼락동),,기타종목,06시 상급,중학생이상,20241201,20241231,화수목금,06:00~06:50,25,16000,,https://www.gcfmc.or.kr,,,N,,128.086502,36.13969402
35,김포생활체육관,생활체육관,4100000000,경기도,4157000000,김포시,경기도 김포시 김포한강8로 198-3 (마산동),319968020,배드민턴,"배드민턴(월,수,금)18시~21시",중학생이상,20241201,20241231,월수금,18:00~22:00,22,0,배드민턴(월수금)18,https://yeyak.guc.or.kr,,,N,,126.6449051,37.64035315
36,남구 빙상장,빙상장,2600000000,부산광역시,2629000000,남구,부산광역시 남구 백운포로 106 (용호동),,기타종목,스피드_어린이17,어린이&청소년,20241201,20241231,화목,17:00~17:45,15,60000,특강_초/중등(월6회),https://www.namgusports.go.kr,,,N,"· 전문스포츠지도사2급
· 생활스포츠지도사2급",129.1100779,35.10415758
37,남구국민체육센터 1관(실내체육관),생활체육관,2600000000,부산광역시,2629000000,남구,부산광역시 남구 백운포로 110 (용호동),,배드민턴,배드민턴1350(개인레슨)_월수금,청소년이상,20241001,20241031,월수금,13:50~15:30,10,88000,배드민턴_월수금(개인레슨),https://www.namgusports.go.kr,,,N,,129.1082001,35.10388234
38,남양주시청소년수련관,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 51-47 (이패동),,수영,수영/아쿠아로빅   남양주청소년수련관 수영/아쿠아로빅- 수영단기속성C(화목)   남양주청소년수련관 수영/아쿠아로빅- 수영단기속성C(화목) 수영단기속성C(화목) 수영단기속성C(화목),,20241101,20241130,화목,17:00~17:50,0,100000,,https://www.ncuc.or.kr,,,N,,127.1781185,37.60893656
39,남양주체육문화센터,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 91 (이패동),,필라테스,기구필라테스 성인/청소년기구필라테스   남양주체육문화센터 기구필라테스-성인/청소년기구필라테스 18/A(월수금)여성기구필라테스   남양주체육문화센터 기구필라테스-성인/청소년기구필라테스 18/A(월수금)여성기구필라테스 기구필라테스(주3회) 기구필라테스(주3회),,20241101,20241130,월수금,18:00~18:50,0,180000,,https://www.ncuc.or.kr,,,N,,127.1777904,37.60592658
40,남양주체육문화센터수영장,수영장,4100000000,경기도,4136000000,남양주시,경기도 남양주시 다산지금로 51-27 (이패동),,수영,15/A(월수금)성인/청소년 수영주3회(청소년),,20241201,20241231,월수금,15:00~15:50,0,47000,,https://www.ncuc.or.kr,,,N,,127.1756062,37.60990889
41,능곡 어울림센터 다목적체육관,생활체육관,4100000000,경기도,4139000000,시흥시,경기도 시흥시 능곡로 140 (능곡동),,댄스(줌바 등),20시<줌바댄스>월수금,청소년~성인,20241001,20241031,,20:00~20:50,30,33330,줌바댄스,https://sportsapp.shsi.or.kr/,,,N,,126.8159456,37.36641994
42,능평스포츠센터-수영장,수영장,4100000000,경기도,4161000000,광주시,경기도 광주시 창뜰아랫길 14-3 (능평동),,기타종목,18시/B(진도)_고급-[14/16]개월차(영법교정),8세~13세,20241201,20241231,화목,18:00~18:50,15,23000,,https://gjcenter.gjcs.or.kr,,,N,,127.1667922,37.34894166
43,달성군국민체육센터,수영장,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 현풍면 현풍동로 180,536594105,수영,수영,초등학생,20241001,20241031,화목,17:00~17:50,0,0,,https://yeyak.dssiseol.or.kr,,,N,,128.4418206,35.70169197
44,달성문화센터수영장,수영장,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 다사읍 대실역북로2길 188,536594108,수영,수영강습 월화수목금,성인남/여및중고생,20241201,20241231,월화수목금,09:00~09:50,0,0,,https://yeyak.dssiseol.or.kr,,,N,,128.4609555,35.86547511
45,도봉실내수영장,수영장,1100000000,서울특별시,1132000000,도봉구,서울특별시 도봉구 도봉로180나길 41 (도봉동),220912572,수영,21시저녁수영B(중급),"성인,청소년,경로",20241201,20241231,화목,21:00~21:50,22,22700,청소년-주2회,https://yeyak.dobongsiseol.or.kr,,,N,,127.0498958,37.68434454
46,동구 국민체육문예센터,생활체육관,2600000000,부산광역시,2617000000,동구,부산광역시 동구 구청로 8 (수정동),,수영,16시어린이수영교실,초등학생,20241001,20241031,월화수목금,16:00~16:50,50,0,,https://www.bsdgsportsart.or.kr,,진도별 지도가능하며 승급제로 수업합니다.,N,"생활스포츠지도자(수영, 배드민턴), 수상인명구조원, 유소년스포츠지도사 등.",129.0446742,35.12895295
47,동구문화체육센터 수영장,수영장,2800000000,인천광역시,2814000000,동구,인천광역시 동구 송림로110번길 5-8(송림동),,수영,화목 초급B반 어린이1부-자유형기초,어린이(만7세 이상),20241001,20241031,화목,16:00~16:50,20,40000,,https://cscenter.icdonggu.go.kr,,,N,,126.6475423,37.47577301
48,동대문구민체육센터수영장,수영장,1100000000,서울특별시,1123000000,동대문구,대전광역시 서구 장안동  장안로 587,,수영,06시 초급-화목,성인/청소년,20241101,20241130,화목,06:00~06:50,0,22000,,https://www.dfmc.kr/,,,N,,127.3370849,36.21164905
49,동래구국민체육센터실내수영장,수영장,2600000000,부산광역시,2626000000,동래구,부산광역시 동래구 미남로116번길 3 (온천동),,수영,(16)-어린이수영,초등학생,20241201,20241231,월화수목금,16:00~16:50,50,46000,어린이수영(1개월),https://sports.dongnae.go.kr,,전신지구력과 심폐기능 등 발달에 도움을 주며 어린이들이 물을 무서워 하지 않고 수영을 통해 자신감과 건강을 지킬수 있도록구성 헬퍼 등 안전 도구를 사용하여 물에 대한 두려움을 없애고 다양한 영법을 지도,N,"수상안전자격증, 생존수영강사자격증, 심판자격증",129.0697194,35.20453341
50,동작구민체육센터,생활체육관,1100000000,서울특별시,1159000000,동작구,서울특별시 동작구 여의대방로16길 53 (신대방동),28322445,축구(풋살),풋볼/특화 그룹/7세~9세   동작구민체육센터 풋볼/특화-그룹/7세~9세 10시[토]어린이/football/7세~초2 주1회[7세~초2]   동작구민체육센터 풋볼/특화-그룹/7세~9세 10시[토]어린이/football/7세~초2 주1회[7세~초2],,20241101,20241130,토,10:00~10:50,0,70000,,https://sports.idongjak.or.kr,,,N,,126.9167677,37.49471976
51,동작구민체육센터수영장,수영장,1100000000,서울특별시,1159000000,동작구,신대방동 460-1,28322445,수영,18시[화목]초급반/어린이 어린이/단체/주2회,,20241201,20241231,화목,18:00~18:50,0,18700,,https://sports.idongjak.or.kr,,,N,,126.9167737,37.49472364
52,마장국민체육센터,생활체육관,1100000000,서울특별시,1120000000,성동구,서울특별시 성동구 마조로11길 6 (마장동),222047900,댄스(줌바 등),초등방송댄스17C,초등학생,20241201,20241231,화목,17:00~17:50,15,40000,,https://sports.happysd.or.kr,,,N,,127.04079,37.56213021
53,문학박태환수영장,수영장,2800000000,인천광역시,2817000000,남구,인천광역시 남구 매소홀로 618 (문학동),324404325,수영,(07)새벽2반_주2회(중급),청소년이상,20241201,20241231,화목,07:00~07:50,30,48000,,https://www.icsports.or.kr,,,N,,126.6907598,37.43508198
54,미추홀구 국민체육센터,수영장,2800000000,인천광역시,2817700000,미추홀구,인천광역시 미추홀구 경인로42번길 57 (숭의동),,수영,17시 어린이_초급[주2회],어린이,20241201,20241231,화목,17:00~17:50,20,40000,,https://www.imfmc.co.kr,,,N,"생활스포츠지도사 (수영)
수상안전요원",126.6494662,37.46195279
55,백운커뮤니티센터,수영장,4100000000,경기도,4143000000,의왕시,경기도 의왕시 백운중앙로 74 (학의동),,기타종목,10시 화목 교정2(성인남녀/청소년),성인/청소년,20241001,20241031,화목,10:00~10:50,20,16520,,https://reserve.uuc.or.kr,,,N,,127.0075798,37.3700378
56,보령국민체육센터수영장,수영장,4400000000,충청남도,4418000000,보령시,충청남도 보령시 남포면 보령남로 347,419304972,수영,16시 어린이수영[초급반],초등학생,20241101,20241130,월수,16:00~16:50,0,0,,https://www.brcn.go.kr,,,N,인명구조요원(대한적십자사) 2급 생활스포츠지도사(수영),126.6039317,36.31376021
57,부곡다목적실내체육관,구기체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 부곡공원길 6 (월암동),3180867421,배구,부곡 10시 화목 배구,"성인,청소년",20241201,20241231,화목,10:00~12:00,25,33000,,https://reserve.uuc.or.kr,,,N,,126.9587549,37.31463525
58,부곡스포츠센터,생활체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 부곡시장길 77 (삼동),313452544,요가,19시 월수금 요가,성인 및 청소년,20241001,20241031,월수금,19:00~19:50,35,39600,,https://reserve.uuc.or.kr,,,N,,126.9572372,37.31864395
59,부산국민체육센터,생활체육관,2600000000,부산광역시,2614000000,서구,부산광역시 서구 대신로 150 (서대신동3가),512535959,배드민턴,배드민턴 K반,청소년 이상,20241201,20241231,월화수목금,20:00~20:50,0,45100,,https://www.bnsc.or.kr,,,N,,129.0157696,35.11732419
60,부산진구 국민체육센터,수영장,2600000000,부산광역시,2623000000,부산진구,부산광역시 부산진구 진남로328번길 35 (전포동),,수영,생활수영 09_생활수영B,청소년이상,20241201,20241231,월화수목금,09:00~09:50,0,66000,,https://www.jsports.or.kr,,,N,,129.0737727,35.15538668
61,북구국민체육센터,생활체육관,2600000000,부산광역시,2632000000,북구,부산광역시 북구 화명대로94번길 83 (화명동),,에어로빅,에어로빅(A) 21시,초등학생이상,20241201,20241231,월화수목금,21:00~21:50,0,57000,,https://www.bukgusports.com,,,N,,129.0174211,35.23078774
62,북구국민체육센터,생활체육관,3100000000,울산광역시,3120000000,북구,울산광역시 북구 호계로 416-31 (신천동),522417370,댄스(줌바 등),줌바로빅(A) 09시,초등학생이상,20241201,20241231,월화수목금,09:00~09:50,0,57000,,https://www.bukgusports.com,,,N,,129.3470136,35.64276707
63,분당야탑청소년수련관수영장,수영장,4100000000,경기도,4113500000,성남시 분당구,경기도 성남시 분당구 벌말로30번길 35(야탑동),,수영,(청소년)아침수영교실(월수금7시),청소년,20241201,20241231,월수금,07:00~07:50,10,36000,,https://snyouth.or.kr,,,N,,127.1418618,37.4102383
