,FCLTY_NM,FCLTY_TY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,FCLTY_ADDR,FCLTY_TEL_NO,PROGRM_TY_NM,PROGRM_NM,PROGRM_TRGET_NM,PROGRM_BEGIN_DE,PROGRM_END_DE,PROGRM_ESTBL_WKDAY_NM,PROGRM_ESTBL_TIZN_VALUE,PROGRM_RCRIT_NMPR_CO,PROGRM_PRC,PROGRM_PRC_TY_NM,HMPG_URL,SAFE_MANAGT_CN,EDC_GOAL_CN,PRTC_NMPR_PARTCPT_AT,LDR_QUALF_CN,x,y
64,사당문화회관수영장,수영장,1100000000,서울특별시,1159000000,동작구,사당동 248-6,28322445,수영,[18시금]초등소수/초등 *소수정예수영(금),,20241201,20241231,금,18:00~18:50,0,50000,,https://sports.idongjak.or.kr,,,N,,126.9696139,37.48471444
65,사하구국민체육센터,생활체육관,2600000000,부산광역시,2638000000,사하구,부산광역시 사하구 감천로 68 (감천동),512023800,수영,07시 새벽수영_중급,청소년이상,20241101,20241130,월화수목금,07:00~07:50,0,68000,,https://www.sahaksports.or.kr,,,N,,128.9988776,35.08943501
66,삼각산문화예술회관수영장(구.강북구민회관수영장),수영장,1100000000,서울특별시,1130500000,강북구,서울특별시 강북구 삼각산로 85 (수유동),,기타종목,유아반 16시 [월수금] 신규 미정,7세,20241201,20241231,월수금,16:00~16:50,12,32000,,https://gbcmc.or.kr,,,N,,127.0138781,37.64098979
67,서대문체육회관수영장,수영장,1100000000,서울특별시,1141000000,서대문구,홍은3동 산26-155,,수영,수영강습_중급_화목_20시(접영~오리발),"성인,청소년",20241101,20241130,화목,20:00~20:50,0,20000,,https://cs.sscmc.or.kr,,,N,,126.9315574,37.58075973
68,서부산권장애인스포츠센터,생활체육관,2600000000,부산광역시,2638000000,사하구,부산광역시 사하구 낙동남로1233번길 20 (하단동),,수영,17시 어린이수영[월수금],어린이,20241001,20241031,월수금,17:00~17:50,15,48390,,https://www.sbsd.kr,,,N,,128.9469416,35.10942029
69,서울여성능력개발원수영장,기타시설,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 아차산로30길 36 (자양동),,수영,S07-4오전10시어린이자유수영(토),,20241201,20241231,토,10:00~10:50,20,12000,,https://dongbu.seoulwomanup.or.kr,,,N,,127.0667179,37.5394028
70,서재문화체육센터 배드민턴장,기타시설,2700000000,대구광역시,2771000000,달성군,대구광역시 달성군 다사읍 다사로 750,538034263,배드민턴,야간배드민턴,청소년이상,20241201,20241231,월화수목금,18:30~21:30,96,0,,https://13.dpfc.or.kr,,,N,,128.5032013,35.88428804
71,선학국제빙상경기장,빙상장,2800000000,인천광역시,2818500000,연수구,인천광역시 연수구 경원대로 526 (선학동),324404325,빙상(스케이트),토)14시~16시피겨_기초반(신규모집),7세 ~ 성인,20241001,20241031,토,14:00~15:45,20,0,7세,https://www.seonhakicerink.or.kr,,,N,생활체육지도사 2급 (빙상),126.7018481,37.43090319
72,성동구립용답체육센터 수영장,수영장,1100000000,서울특별시,1120000000,성동구,서울특별시 성동구 천호대로78길 15-48(용답동),,수영,어린이소그룹16C-5,초등학생,20241201,20241231,화목,16:00~16:50,6,110000,,https://sports.happysd.or.kr,,,N,,127.0570568,37.56183119
73,성동구민종합체육센터수영장,수영장,1100000000,서울특별시,1120000000,성동구,성수1가 685-20,222047600,수영,어린이소그룹토14-1,7세~초등학생,20241201,20241231,토,14:00~14:50,6,70000,,https://sports.happysd.or.kr,,"초급자는 물적응 과정부터 단계적으로 자유형, 배영, 평영, 접영까지 진도를 나가며, 중.상급자는 영법별 자세교정 수업이 이루어 집니다. 필요에 따라 성인풀(1.2M ~ 1.4M)을 이용한 수업이 진행 될 수 있음을 알려드립니다.
소그룹 수영교실은 수업이 1:6으로 진행되어 어린이들의 개인적 성향과 신체능력에 맞춰 진도를 나갈 수 있습니다. 소수 인원으로 강습이 진행되기 때문에 자세나 진도나감에 있어 보다 효율적이고 세심한 교육을 받을 수 있습니다",N,,127.0417991,37.54307015
74,성북구민체육관,생활체육관,1100000000,서울특별시,1129000000,성북구,서울특별시 성북구 화랑로13길 144 (하월곡동),,종합체육시설,렛츠 런 인라인(월) 15시,초등,20241201,20241231,월,15:00~15:50,10,42000,,https://www.gongdan.go.kr,,,N,,127.0422837,37.6086202
75,성북종합레포츠타운수영장,수영장,1100000000,서울특별시,1129000000,성북구,서울특별시 성북구 한천로58길 307 (석관동),269171100,수영,소그룹08토,초등,20241201,20241231,토,08:00~08:50,18,50000,,https://www.gongdan.go.kr,,,N,,127.0700512,37.61021724
76,소사국민체육센터,생활체육관,4100000000,경기도,4119000000,부천시,경기도 부천시 소사로 108 (소사본동),,기타종목,10:30 재키스피닝 주2회,초등(4학년)이상,20241101,20241130,화목,10:30~11:20,0,44000,,https://www.best.or.kr,,,N,,126.7985324,37.46860107
77,속초국민체육센터,수영장,5100000000,강원특별자치도,5121000000,속초시,강원특별자치도 속초시 조양로 89 (조양동),336393714,수영,아침수영고급반(B),"청소년,성인,경로",20241201,20241231,수금,07:10~08:00,25,0,,https://sports.sokcho.go.kr,,,N,"생활스포츠지도자(수영,보디빌딩)
수상안전요원2급
심판자격증3급경영(수영)",128.5906464,38.18671671
78,송도스포츠센터수영장,수영장,2600000000,부산광역시,2614000000,서구,부산광역시 서구 송도해변로 121 (암남동),512404781,수영,21_야간수영 (월~금),"성인, 청소년",20241201,20241231,월화수목금,21:00~21:50,0,66000,일반: 가임:59400,https://www.sdsports.or.kr,,,N,,129.0201101,35.07807699
79,수영구 국민체육센터,기타시설,2600000000,부산광역시,2650000000,수영구,부산광역시 수영구 수영로521번길 77 (광안동),,배드민턴,배드민턴_07_30 07시30분,청소년이상,20241201,20241231,월화수목금,07:30~08:50,0,50000,,https://www.sysports.or.kr,,,N,,129.1074595,35.15293824
80,수영구 스포츠클럽,생활체육관,2600000000,부산광역시,2650000000,수영구,부산광역시 수영구 광남로257번길 12 (민락동),517558885,헬스,H.헬스,성인/중·고등학생,20241201,20241231,월화수목금토,06:00~21:30,0,43000,,https://www.sygsports.co.kr,,,N,,129.1269382,35.16094516
81,수원시체육회관,기타시설,4100000000,경기도,4111100000,수원시 장안구,경기도 수원시 장안구 정조로 998 (조원동),312906014,수영,"오전F_마스터(교정,핀)",성인/청소년,20241201,20241231,화목,11:00~11:50,0,61000,,https://swywca.sscc3030.or.kr,,,N,,127.0092768,37.29610416
82,수원청소년문화센터,구기체육관,4100000000,경기도,4111500000,수원시 팔달구,경기도 수원시 팔달구 권광로 293 (인계동),,축구(풋살),화목-청소년화목풋살B,초1~중3,20241201,20241231,화목,17:00~17:50,25,30000,청소년풋살,https://yeyak.syf.or.kr,,"초등학교 1학년 ~ 중학교 3학년 대상으로 운영하는 축구강좌입니다. 이외 연령은 수강하실 수 없습니다.
축구의 기본기 등 기초기술과 다양한 게임을 통해 활발히 신체활동을 할 수 있습니다.",N,,127.0352697,37.27364078
83,신도림생활체육관,생활체육관,1100000000,서울특별시,1153000000,구로구,서울특별시 구로구 경인로67길 149 (신도림동),218999912,필라테스,06 기구필라테스A,청소년이상,20241101,20241130,월수금,06:00~06:50,0,180000,,https://www.gurosisul.or.kr,,,N,,126.8832346,37.51376124
84,신림체육센터,생활체육관,1100000000,서울특별시,1162000000,관악구,서울특별시 관악구 난곡로58길 13 (신림동),28691888,댄스(줌바 등),토요줌바댄스A,성인/청소년,20241101,20241130,토,09:00~09:50,0,24000,,https://booking.gwanakgongdan.or.kr,,,N,,126.916032,37.48007066
85,신월문화체육센터수영장,수영장,1100000000,서울특별시,1147000000,양천구,충청북도 제천시 신월동   987,,수영,어린이17시B,초등학생,20241101,20241130,화목,17:00~17:50,0,105000,,https://www.ycs.or.kr,,,N,인명구조자격소지(적십자),128.1799232,37.15955781
87,양천구민체육센터수영장,수영장,1100000000,서울특별시,1147000000,양천구,신정동322-10,,수영,어린이소그룹수영16F(성인풀강습),초등학생,20241201,20241231,월수금,16:00~16:50,6,158000,,https://www.ycs.or.kr,"성인풀 수심 1.5~1.6m 
신장 160cm 이하 어린이는 수심을 꼭 확인하시고 신청해주세요.",,N,"인명구조자격 - 대한적십자
수상안전강사 자격 - 대한적십자",126.8645862,37.51639668
88,연제구국민체육센터,생활체육관,2600000000,부산광역시,2647000000,연제구,부산광역시 연제구 쌍미천로 132 (연산동),516655124,기타종목,방과후어린이주3회17시반,초등학생,20241001,20241031,월수금,17:00~17:50,75,29000,수영주3회1개월(어린이),https://sports.yeonje.go.kr,,,N,인명구조요원,129.0874854,35.18415343
89,열린금호교육문화관체육관,생활체육관,1100000000,서울특별시,1120000000,성동구,"서울특별시 성동구 금호산12길 3(금호동2가, 성덕빌라)",222047650,헬스,개인PT1:2(4회),"성인,<br>중,고생<br>청소년(13세이상)",20241201,20241231,월화수목금토,06:00~21:50,20,180000,,https://sports.happysd.or.kr,,,N,,127.0197434,37.55196497
90,열우물경기장,수영장,2800000000,인천광역시,2823700000,부평구,인천광역시 부평구 열우물로 164 (십정동),327156214,수영,(10)오전수영_주2회(상급),청소년이상,20241201,20241231,화목,10:00~10:50,25,42000,,https://www.icsports.or.kr,,,N,,126.6915932,37.48010516
91,영등포제1스포츠센터,생활체육관,1100000000,서울특별시,1156000000,영등포구,서울특별시 영등포구 신풍로 1 (신길동),226703142,축구(풋살),초등소수풋살16(금) 무,초등생(1~6년),20241201,20241231,금,16:00~16:50,15,0,,https://spc.y-sisul.or.kr,,,N,,126.906305,37.50054207
92,영등포제2스포츠센터,생활체육관,1100000000,서울특별시,1156000000,영등포구,서울특별시 영등포구 국회대로 615 (당산동4가),226703142,농구,★박진농구교실16(화) 무,초등생(3~6년),20241001,20241031,화,16:00~16:50,15,0,,https://spc2.y-sisul.or.kr/,,,N,,126.9027314,37.52669243
93,오남체육문화센터,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 오남읍 진건오남로577번길 11,,기타종목,파워스피닝 파워스피닝   오남체육문화센터 파워스피닝-파워스피닝 11A파워스피닝(김은비)   오남체육문화센터 파워스피닝-파워스피닝 11A파워스피닝(김은비) 주3회_청소년(스피닝) 주3회_청소년(스피닝),,20241101,20241130,월수금,11:30~12:20,0,55000,,https://ncuc.or.kr,,,N,,127.2098431,37.68486937
94,오남체육문화센터수영장,수영장,4100000000,경기도,4136000000,남양주시,경기도 남양주시 오남읍 양지로 156-19,,수영,07/B1(화목)성인/청소년수영 주2회_청소년,,20241201,20241231,화목,07:00~07:50,0,30000,,https://ncuc.or.kr,,,N,,127.2022266,37.6929656
95,오산스포츠센터,생활체육관,4100000000,경기도,4137000000,오산시,경기도 오산시 경기동로 33 (오산동),,댄스(줌바 등),파워댄스D,청소년이상,20241101,20241130,화목,20:30~21:20,0,30000,,https://www.osansports.or.kr,,,N,,127.0756663,37.1587032
96,오정레포츠센터,생활체육관,4100000000,경기도,4119000000,부천시,경기도 부천시 상오정로 169 (오정동),323405383,체육관프로그램,농구(수)-초1~4학년,초등 저학년,20241201,20241231,수,17:40~19:00,30,35000,,https://www.best.or.kr,,,N,,126.7964766,37.52915273
97,올림픽기념국민생활관,생활체육관,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 성균관로 91 (혜화동),221481892,에어로빅,에어로빅 10시 월~금,성인/청소년,20241001,20241031,월화수목금,10:00~10:50,45,50600,,https://www.ijongno.co.kr,,,N,,126.9987803,37.59048902
98,올림픽기념국민생활관,생활체육관,2600000000,부산광역시,2635000000,해운대구,부산광역시 해운대구 APEC로 68 (우동),517472002,줄넘기,음악줄넘기 D,초등생,20241201,20241231,토,11:00~11:50,23,0,,https://www.saba.or.kr,,,N,,129.1376957,35.16742611
99,와부체육문화센터,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 와부읍 월문천로 51,,기타종목,"다목적강좌(1개월) 문화교실강좌(1개월)   와부체육문화센터 다목적강좌(1개월)-문화교실강좌(1개월) 08/B소수정예>여성예쁜몸매필라테스(청소년~성인)   와부체육문화센터 다목적강좌(1개월)-문화교실강좌(1개월) 08/B소수정예>여성예쁜몸매필라테스(청소년~성인) 여성필라테스(화,목) 여성필라테스(화,목)",,20241101,20241130,화목,08:00~08:50,0,55000,,https://ncuc.or.kr,,,N,,127.2180195,37.58580813
100,용산문화체육센터,생활체육관,1100000000,서울특별시,1117000000,용산구,서울특별시 용산구 백범로 350 (문배동),27072492,필라테스,소도구필라테스 19_월수,청소년이상,20241001,20241031,월수,19:00~19:50,16,55000,,https://yssports.yong-san.or.kr,,,N,,126.9676278,37.53724193
101,용산청소년수련관,생활체육관,1100000000,서울특별시,1117000000,용산구,서울특별시 용산구 이촌로71길 24 (이촌동),27495314,무용(발레 등),"리듬체조중급(토)10:00바른몸사용,리듬감각키우기",대상어린이(7~12세),20241201,20241231,요일토,10:00-10:50,0,0,,https://yongsanyouth.or.kr,,,N,,126.9732982,37.5213567
102,원주국민체육센터,생활체육관,5100000000,강원특별자치도,5113000000,원주시,강원특별자치도 원주시 남원로 551 (명륜동),,수영,수영_상급반_07시_일반,청소년,20241001,20241031,화수목금토일,05:00~22:00,0,45000,,https://cms.wfmc.kr/,,,N,,127.9463037,37.33383071
103,은평구민체육센터,생활체육관,1100000000,서울특별시,1138000000,은평구,서울특별시 은평구 진관1로 40 (진관동),23516553,수영,저녁수영(월수금19시)-1레인(기초~평영),청소년/성인,20241201,20241231,월수금,19:00~19:50,20,36000,,https://www.efmc.or.kr,,,N,,126.9235813,37.63044073
104,의왕시국민체육센터,생활체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 복지로 27 (내손동),3180867421,탁구,"16시 화목 탁구(청소년,어린이)","청소년, 어린이",20241201,20241231,화목,16:00~16:50,9,44000,,https://reserve.uuc.or.kr,,,N,,126.9751657,37.3820352
105,의왕청소년수련관체육관,구기체육관,4100000000,경기도,4143000000,의왕시,경기도 의왕시 문화공원로 33 (고천동),313468164,기타종목,롱보드(초급) 금18시,초~중등,20241201,20241231,금,18:00~18:50,25,120000,,https://www.uyf.or.kr,,,N,,126.9719381,37.34179505
106,이문체육문화센터,생활체육관,1100000000,서울특별시,1123000000,동대문구,서울특별시 동대문구 한천로58길 81-49 (이문동),,스쿼시,"스쿼시 09시 초급B(화,목)",청소년~성인,20241001,20241031,화목,09:00~09:50,8,35200,,https://www.dfmc.kr:8443,,,N,,127.0687022,37.60224436
107,장유스포츠센터,생활체육관,4800000000,경상남도,4825000000,김해시,경상남도 김해시 번화2로 72 (삼문동),,수영,신규_16시 [4.상급] 접영진도,초등학생,20241201,20241231,월화수목금,16:00~16:50,5,48000,,https://ghdc.or.kr,,,N,,128.8049437,35.1957256
108,정관아쿠아드림파크,수영장,2600000000,부산광역시,2671000000,기장군,부산광역시 기장군 정관읍 모전로 7,,기타종목,"15시 10분 (6,7세) 유아소그룹 1",,20241001,20241031,화수목금,15:10~16:00,6,0,,https://regs.gijangcmc.or.kr,,,N,,129.1631509,35.34132097
109,정자청소년수련관체육관,생활체육관,4100000000,경기도,4113500000,성남시 분당구,경기도 성남시 분당구 성남대로407번길 12 (정자동),317259500,탁구,(청소년)탁구교실 9시,초3-6,20241201,20241231,토,09:00~09:50,15,11000,,https://snyouth.or.kr,,,N,,127.1063236,37.37276163
110,종로구민회관,생활체육관,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 지봉로5길 7-5 (창신동),221481305,헬스,헬스(평일6~21:50토일9~17:50)평일클린13~14입장불가,청소년성인,20241101,20241130,월화수목금토일,06:00~21:50,0,38500,,https://www.ijongno.co.kr,,,N,,127.0143661,37.57350028
111,종로문화체육센터수영장,수영장,1100000000,서울특별시,1111000000,종로구,서울특별시 종로구 인왕산로1길 21 (사직동),221481892,수영,강습수영 21 화목,성인/청소년,20241001,20241031,화목,21:00~21:50,70,25300,,https://www.ijongno.co.kr,,,N,,126.964661,37.57420982
112,중곡문화체육센터,생활체육관,1100000000,서울특별시,1121500000,광진구,서울특별시 광진구 능동로 433 (중곡동),234084918,요가,코어 다이어트 요가 B[20시],중고등~성인,20241101,20241130,월수금,20:00~20:50,0,40000,,https://booking.gwangjin.or.kr,운동 전 신체 중증이상 질환유무 및 운동기능 건강 상태를 체크 후 수강바랍니다.,"코어란 우리 몸을 이루는 중심, 목에서 척추, 골반으로 이어지는 전체의 뼈와 근육을 말한다. 이에 코어 다이어트 요가는 척추, 복부, 대퇴부에 분포되어 있는 근육들을 강화시켜 신체를 안전하게 지탱하고 효율적으로 힘을 전달할 수 있도록 도와주며 불필요한 군살들을 제거하는 프로그램이다

요가를 통해 삶의 질을 향상시키며 노화예방을 관리한다. Asana를 통한 특별한 동작으로 자연스럽게 유연성을 회복하고 체력과 균형감각을 익힌다. 또한 일상적인 스트레스에 적응하고 면역력을 키워준다. 심신을 편안하게 해주며 원기회복에 도움을 주고 온전히 건강한 사람으로 만들어준다.",N,"요가2급 지도자 자격증
요가3급 지도자 자격증
빈야사요가 지도자 자격증
비니요가(체형교정) 지도자 자격증
임산부요가 지도자 자격증
어린이요가 지도자 자격증",127.0848024,37.5677792
113,진접체육문화센터,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 진접읍 금강로 1509-24,,기타종목,건강강좌 성인/청소년   진접체육문화센터 건강강좌-성인/청소년 11/B[여성전용]예쁜몸매필라테스(화목/이선희)   진접체육문화센터 건강강좌-성인/청소년 11/B[여성전용]예쁜몸매필라테스(화목/이선희) 건강강좌주2회(화목_성인) 건강강좌주2회(화목_성인),,20241101,20241130,화목,11:40~12:30,0,37500,,https://ncuc.or.kr,,,N,,127.1897102,37.72711588
114,천안국민체육센터,생활체육관,4400000000,충청남도,4413300000,천안시 서북구,충청남도 천안시 서북구 번영로 208 (백석동),,기타종목,월수금반18시20분,성인및청소년,20241001,20241031,월수금,18:20~18:40,1,180000,실내테니스강습(월수금)_성인,https://sports.cfmc.or.kr/,,,N,,127.1133052,36.81910075
115,천안축구센터,축구장,4400000000,충청남도,4413300000,천안시 서북구,충청남도 천안시 서북구 축구센터로 150 (성정동),,기타종목,초등1학년(화요일),천안시민,20241101,20241130,화,19:50~21:10,14,30000,축구교실,https://sports.cfmc.or.kr,,,N,,127.1457655,36.82144008
116,충무아트홀스포츠센터수영장,수영장,1100000000,서울특별시,1114000000,중구,서울특별시 중구 퇴계로 387(흥인동),222808404,수영,하마수영,초등학생,20241201,20241231,화목,17:00~17:50,20,31000,,https://www.e-junggu.or.kr,,,N,,127.0147909,37.56594097
117,충주국민체육센터수영장,수영장,4300000000,충청북도,4313000000,충주시,충청북도 충주시 중원대로 3306 (호암동),438503282,기타종목,18시 저녁1반 초급[월수],청소년이상,20241201,20241231,월수,18:40~19:30,15,5000,,https://www.cjfmc.or.kr,,,N,,127.9269064,36.96271929
118,탄천스포츠센터,구기체육관,4100000000,경기도,4113000000,성남시,경기도 성남시 분당구 탄천로 215 (야탑동),317257161,빙상(스케이트),[10시] 피겨 성인(월수금)_주3회,청소년,20241001,20241031,월수금,10:00~10:50,0,53530,,https://spo.isdc.co.kr,,,N,,127.120513,37.41179093
119,탄천종합운동장 체육회관 수영장,수영장,4100000000,경기도,4113000000,성남시,분당구야탑동 탄천로 215,,수영,[06시] 3개월차_초급반_주5회,청소년,20241201,20241231,월화수목금,06:00~06:50,0,45000,,https://spo.isdc.co.kr,,,N,,127.120513,37.41179093
120,탄천종합운동장체육회관빙상장,빙상장,4100000000,경기도,4113000000,성남시,야탑동 486번지,,빙상(스케이트),[16시] 피겨 어린이(화목),어린이,20241001,20241031,화목,16:00~16:50,0,43200,,https://spo.isdc.co.kr,,,N,,127.1206638,37.41041104
121,태전국민체육센터-생활체육관,생활체육관,4100000000,경기도,4161000000,광주시,경기도 광주시 벼루개길42번길 20 (태전동),,기타종목,10시/A 바른자세운동[다목적3실],청소년이상,20241001,20241031,월수금,10:00~10:50,10,30000,,https://gjcenter.gjcs.or.kr,,,N,"보디빌딩 생활스포츠지도사 2급
에어로빅 생활츠포츠지도사 2급
노인운동재활지도사 2급",127.2330932,37.38136867
122,평생학습관 수영장,수영장,4100000000,경기도,4143000000,의왕시,경기도 의왕시 오전로 122 (오전동),3180867412,기타종목,10시 화목 마스터,성인/청소년,20241001,20241031,화목,10:00~10:50,35,33000,,https://reserve.uuc.or.kr,,,N,,126.975459,37.35505601
123,포항국민체육센터,생활체육관,4700000000,경상북도,4711000000,포항시,경상북도 포항시 북구 양학로 166 (학잠동),542702803,탁구,(※!추첨제)탁구초급반,13세이상,20241201,20241231,화수목,18:30~19:30,15,30000,탁구,https://reservation.phsisul.org,,,N,,129.3414653,36.03557768
124,포항생활야구장,야구장,4700000000,경상북도,4711000000,포항시,경상북도 포항시 남구 중흥로162번길 42-4 (상도동),542702804,야구,리틀야구장(일요일),초등학교3~6학년,20241101,20241130,일,13:30~16:30,25,30000,일반회원,https://reservation.phsisul.org,,,N,,129.3583747,36.0163823
125,해동이국민체육센터,생활체육관,4800000000,경상남도,4825000000,김해시,경상남도 김해시 삼계로 132 (삼계동),,기타종목,(新)07시 고급반 영법교정,청소년이상,20241201,20241231,월화수목금,07:00~07:50,5,48000,,https://ghdc.or.kr,,,N,,128.8803631,35.2583233
126,해오름휘트니스센터,생활체육관,1100000000,서울특별시,1129000000,성북구,"서울특별시 성북구 성북로4길 52 (돈암동, 한신한진아파트)",,헬스,해오름 헬스,청소년,20241201,20241231,월화수목금토,06:00~22:00,400,39000,,https://www.gongdan.go.kr,,,N,,127.012706,37.59447253
127,호평체육문화센터,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 늘을2로 67 (호평동),,기타종목,건강(1개월) 어린이   호평체육문화센터 건강(1개월)-어린이 어린이방송댄스B   호평체육문화센터 건강(1개월)-어린이 어린이방송댄스B 어린이(주2회) 어린이(주2회),,20241001,20241031,화목,17:00~17:50,0,31400,,https://www.ncuc.or.kr,,,N,,127.2422797,37.65887795
128,화도체육문화센터,생활체육관,4100000000,경기도,4136000000,남양주시,경기도 남양주시 화도읍 수레로 1259,,탁구,(09)주3회_화목금탁구 주3회_청소년(탁구),,20241201,20241231,화목금,09:00~10:50,0,37500,,https://ncuc.or.kr,,,N,,127.3011741,37.6496096
129,화성국민체육센터 체육시설,기타시설,4100000000,경기도,4159000000,화성시,경기도 화성시 봉담읍 동화길 18,313696273,기타종목,19A 저녁반_마스터(15개월기간수료),성인/청소년,20241201,20241231,월수금,19:00~19:50,500,60000,,https://www.hsuco.or.kr,,,N,,126.9517321,37.22067432
130,환경에너지시설내테니스장,테니스장,4100000000,경기도,4128500000,고양시 일산동구,경기도 고양시 일산동구 경의로 115 (백석동),3180752341,테니스,테니스(화목)-단체오후2반 화목15:00~15:50,청소년,20241201,20241231,화목,15:00~15:50,0,29700,,https://yeyak.gys.or.kr,,,N,,126.7961231,37.6433245
131,환경에너지시설수영장,수영장,4100000000,경기도,4128500000,고양시 일산동구,경기도 고양시 일산동구 경의로 84 (백석동),3180752341,수영,"수영(화목)-아침2반(기초,초급) 화목07:00~07:50",청소년,20241201,20241231,화목,07:00~07:50,0,33000,,https://yeyak.gys.or.kr,,,N,,126.7951289,37.64112005
132,황새울국민체육센터,생활체육관,4100000000,경기도,4113500000,성남시 분당구,경기도 성남시 분당구 황새울로 273(수내동),,필라테스,"필라테스_화,목_13시",청소년,20241101,20241130,화목,13:00~13:50,0,20000,,https://spo.isdc.co.kr,,,N,"국제필라테스 지도자 자격증
필라테스(매트,소도구) 자격증",127.1167358,37.38254594
133,흑석체육센터,생활체육관,1100000000,서울특별시,1159000000,동작구,서울특별시 동작구 현충로 73 (흑석동),28322445,종합체육시설,체육관 배드민턴   흑석체육센터 체육관-배드민턴 17시/화목/1:12배드민턴(초등)/초등 어린이소수(주2)   흑석체육센터 체육관-배드민턴 17시/화목/1:12배드민턴(초등)/초등 어린이소수(주2),,20241101,20241130,화목,17:00~17:50,0,50000,,https://sports.idongjak.or.kr,,,N,,126.9634463,37.51005512
